id	title_total_words	title_total_pictures	title_general_disruption_words	title_general_disruption_pictures	title_personal_effects_words	title_personal_effects_pictures	title_protester_messaging_words	title_protester_messaging_pictures	title_positive_comments_words	title_positive_comments_pictures	title_negative_comments_words	title_negative_comments_pictures	subtitle_total_words	subtitle_total_pictures	subtitle_general_disruption_words	subtitle_general_disruption_pictures	subtitle_personal_effects_words	subtitle_personal_effects_pictures	subtitle_protester_messaging_words	subtitle_protester_messaging_pictures	subtitle_positive_comments_words	subtitle_positive_comments_pictures	subtitle_negative_comments_words	subtitle_negative_comments_pictures	main_content_total_words	main_content_total_pictures	main_content_general_disruption_words	main_content_general_disruption_pictures	main_content_personal_effects_words	main_content_personal_effects_pictures	main_content_protester_messaging_words	main_content_protester_messaging_pictures	main_content_positive_comments_words	main_content_positive_comments_pictures	main_content_negative_comments_words	main_content_negative_comments_pictures	tagging_error
Metro_2021-04-23_Extinction-Rebellion-protesters	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	3	68	1	102	2	171	0	0	0	28	0	no
Metro_2022-04-10_Extinction-Rebellion-block	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	3	158	1	46	0	144	1	0	0	0	0	no
Metro_2022-07-05_Gary-Lineker-and	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	2	70	1	0	0	0	0	15	0	27	0	no
Mirror_2021-10-04_Extinction-Rebellion-founder	11	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	33	0	0	0	0	0	375	3	158	1	22	0	171	2	0	0	75	0	no
Mirror_2022-04-03_LBC-chaos-as	15	0	15	0	0	0	0	0	0	0	0	0	21	0	21	0	0	0	0	0	0	0	0	0	350	3	245	3	0	0	106	0	14	0	21	0	no
Sky_2021-09-13_M25-traffic-78	17	0	17	0	17	0	0	0	0	0	0	0	29	0	13	0	16	0	0	0	0	0	0	0	265	1	178	1	48	0	48	0	0	0	70	0	no
Sky_2021-10-01_Insulate-Britain-activists	14	0	14	0	14	0	0	0	0	0	0	0	29	0	29	0	29	0	0	0	0	0	0	0	351	3	207	2	219	3	45	0	0	0	38	0	no
Sky_2022-07-05_Climate-protesters-glue	8	0	8	0	0	0	0	0	0	0	0	0	42	0	42	0	0	0	42	0	0	0	0	0	307	0	192	0	0	0	115	0	0	0	0	0	no
Sky_2022-10-17_Dartford-Crossings-QE2	10	0	10	0	0	0	0	0	0	0	0	0	27	0	27	0	0	0	0	0	0	0	0	0	287	1	139	1	0	0	113	0	0	0	10	0	no
Sky_2023-04-17_Just-Stop-Oil	12	0	12	0	0	0	0	0	0	0	0	0	33	0	33	0	0	0	0	0	0	0	0	0	324	3	224	3	22	0	51	0	0	0	49	0	no
Sun_2021-09-13_ROAD-TO-HELL	18	0	13	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	3	123	3	11	0	112	0	0	0	68	0	no
