"id","weight","ideology","outlet","consumed"
20204323,0.948867606283327,4,"BBC News online",0
20204943,0.887444447484897,4,"BBC News online",0
20208196,0.823793349980589,NA,"BBC News online",0
20210902,0.900276752673519,5,"BBC News online",0
20211741,0.908850223904938,3,"BBC News online",1
20212803,0.876294237923966,5,"BBC News online",0
20213840,0.940076826200111,3,"BBC News online",0
20218535,0.861397339890943,NA,"BBC News online",0
20219332,1.50409503337125,4,"BBC News online",0
20220715,0.936171066347943,3,"BBC News online",1
20223358,0.918134488710401,5,"BBC News online",0
20224282,1.22173933972407,NA,"BBC News online",0
20225171,1.10636867735698,3,"BBC News online",1
20229641,0.976826118736406,6,"BBC News online",1
20229961,0.847811794083742,4,"BBC News online",0
20230094,1.0109279537919,4,"BBC News online",1
20236098,1.14009882347847,NA,"BBC News online",0
20236184,0.915777316193063,3,"BBC News online",0
20239005,0.967957797037201,2,"BBC News online",0
20239127,0.858571516903643,NA,"BBC News online",0
20240996,0.812474998807354,3,"BBC News online",1
20242781,0.844645415079307,4,"BBC News online",0
20243373,1.03786796427443,4,"BBC News online",1
20246931,0.607263186969397,3,"BBC News online",1
20246999,1.5478282430944,3,"BBC News online",1
20247178,1.03853157643102,5,"BBC News online",1
20248337,0.884671877547993,5,"BBC News online",0
20248469,0.843427271661646,NA,"BBC News online",0
20249561,0.733583391835327,2,"BBC News online",1
20252333,0.84389780870887,NA,"BBC News online",0
20252892,0.668426975814446,NA,"BBC News online",1
20253190,0.919147800210688,2,"BBC News online",0
20261597,1.1259193156667,NA,"BBC News online",0
20261834,0.899637429815814,4,"BBC News online",0
20264620,0.896668094594843,4,"BBC News online",0
20267695,1.12267941428684,5,"BBC News online",0
20269882,1.22915997565542,4,"BBC News online",1
20271482,0.916841448123286,4,"BBC News online",0
20279656,0.771928521910068,NA,"BBC News online",0
20282652,0.858195384763216,4,"BBC News online",1
20283337,0.969239054797089,4,"BBC News online",0
20287056,0.884671877547993,4,"BBC News online",0
20287911,1.41933102769153,NA,"BBC News online",0
20292241,0.810238724016875,5,"BBC News online",0
20298810,0.763778615188506,3,"BBC News online",1
20305136,1.20786969531933,2,"BBC News online",1
20306733,0.756140976367034,3,"BBC News online",1
20309668,1.4953094644389,5,"BBC News online",0
20314827,0.77509187632978,4,"BBC News online",0
20314957,1.15061164828363,2,"BBC News online",0
20316902,1.11135869068197,6,"BBC News online",1
20334426,1.19378406791155,4,"BBC News online",0
20336029,0.868370017484301,NA,"BBC News online",0
20336875,1.06197604095222,5,"BBC News online",0
20339893,0.89385541742505,4,"BBC News online",0
20340967,1.20572086747911,4,"BBC News online",0
20343175,0.989809342081748,3,"BBC News online",1
20343899,0.958596070532606,NA,"BBC News online",0
20348755,0.887444447484897,NA,"BBC News online",0
20351548,1.05395044442534,3,"BBC News online",0
20379011,1.09501395932862,NA,"BBC News online",1
20383672,0.936849727935804,3,"BBC News online",1
20388046,1.33176607273167,4,"BBC News online",1
20389810,1.002611317936,4,"BBC News online",1
20396797,0.887622663785031,NA,"BBC News online",1
20397668,1.23205481737507,NA,"BBC News online",1
20399950,0.970799170414574,NA,"BBC News online",1
20405023,0.925654803029123,5,"BBC News online",1
20405320,0.84594142827104,5,"BBC News online",1
20418950,0.953571918607351,5,"BBC News online",0
20421365,0.917885286825368,NA,"BBC News online",0
20427040,1.10920518008911,2,"BBC News online",1
20427978,1.01019313817515,4,"BBC News online",0
20430365,0.719396769090035,NA,"BBC News online",0
20433545,1.03468070498057,5,"BBC News online",1
20434159,0.942515802898834,6,"BBC News online",0
20437849,0.78159358411302,3,"BBC News online",1
20440100,0.993519906850358,3,"BBC News online",1
20440170,1.03436469303264,4,"BBC News online",0
20440408,0.765847326092285,6,"BBC News online",0
20446141,1.18148589878386,5,"BBC News online",0
20501374,1.22214426581869,2,"BBC News online",0
20505330,0.917885286825368,6,"BBC News online",0
20525307,1.24842339100706,3,"BBC News online",1
20533993,1.07868111800161,5,"BBC News online",1
20545388,0.863592956821994,4,"BBC News online",1
20546711,0.897206273270836,6,"BBC News online",1
20548468,0.858707242933069,2,"BBC News online",0
20556580,0.85750172263526,2,"BBC News online",1
20571450,0.982862404751604,5,"BBC News online",1
20579704,0.659781242506987,5,"BBC News online",1
20588958,0.904559466223653,1,"BBC News online",0
20599963,0.9205756783726,5,"BBC News online",1
20609958,0.897206273270836,7,"BBC News online",0
20611450,1.12850448712512,4,"BBC News online",0
20621054,1.11416747220947,6,"BBC News online",1
20626839,0.771638719679397,5,"BBC News online",1
20629537,1.09149051834509,3,"BBC News online",1
20636152,0.874993877289061,2,"BBC News online",0
20636990,1.09295094620214,4,"BBC News online",1
20638692,1.18512538089011,4,"BBC News online",0
20639451,0.900276752673519,4,"BBC News online",1
20639487,0.976320446993874,5,"BBC News online",1
20639532,0.908943959690363,3,"BBC News online",1
20643016,1.02562633672478,4,"BBC News online",0
20644464,0.665983569115204,3,"BBC News online",1
20663607,1.48173141717201,NA,"BBC News online",0
20664557,0.865819742700279,NA,"BBC News online",0
20669921,0.89385541742505,6,"BBC News online",0
20671465,1.02571170243139,1,"BBC News online",1
20682590,1.25614430656367,4,"BBC News online",0
20690532,0.91787073208587,4,"BBC News online",0
20692384,1.02756830800205,4,"BBC News online",0
20696602,1.09295094620214,4,"BBC News online",0
20704743,1.22382710987253,NA,"BBC News online",0
20707325,1.13170811625119,4,"BBC News online",1
20707394,0.991152548827504,NA,"BBC News online",0
20710990,0.833697652560433,NA,"BBC News online",1
20713943,0.874027050296371,3,"BBC News online",0
20716485,0.738131805223005,2,"BBC News online",1
20716957,0.939044996852221,2,"BBC News online",0
20717044,1.20558630781978,5,"BBC News online",0
20718933,1.12566586807069,4,"BBC News online",1
20725665,1.10920518008911,5,"BBC News online",0
20728580,1.37004414647068,3,"BBC News online",0
20729382,0.963008145891068,4,"BBC News online",1
20733757,0.915653346199629,5,"BBC News online",0
20739660,0.898296032826641,NA,"BBC News online",1
20749975,1.16585337868382,3,"BBC News online",1
20757666,1.23205481737507,6,"BBC News online",1
20757869,0.834086882124798,6,"BBC News online",0
20759800,1.13130319812072,5,"BBC News online",1
20765090,1.03541599566902,5,"BBC News online",1
20772060,1.20144716521654,3,"BBC News online",1
20779386,0.715080729081225,2,"BBC News online",0
22086387,0.748564002239245,3,"BBC News online",1
22087570,0.960853674843062,5,"BBC News online",0
22091348,0.810908350835403,6,"BBC News online",0
22141182,1.09335305494336,3,"BBC News online",1
22141975,1.03853157643102,6,"BBC News online",0
22144146,0.748090154997302,6,"BBC News online",0
22152420,1.04160818585092,NA,"BBC News online",0
22152443,1.03465290359113,6,"BBC News online",0
22187403,0.878277890252884,3,"BBC News online",1
22264314,0.872316496291049,2,"BBC News online",1
22275023,0.839574388854932,4,"BBC News online",1
22309739,0.959687996382129,2,"BBC News online",1
22316630,0.77399224178618,4,"BBC News online",0
22330358,1.2495897009648,5,"BBC News online",0
22403734,0.811233985050568,3,"BBC News online",0
28009011,1.01859652762759,4,"BBC News online",0
28110124,0.936647281551935,4,"BBC News online",1
28242812,0.900276752673519,5,"BBC News online",0
28263520,0.970137481428116,7,"BBC News online",1
28359418,0.722908883836946,NA,"BBC News online",0
28367120,1.22418790138184,NA,"BBC News online",0
28371373,1.02910304873513,2,"BBC News online",1
28572771,0.909566209969306,5,"BBC News online",0
28807291,0.727172999856394,1,"BBC News online",1
28897999,0.888161284121996,3,"BBC News online",1
29093399,0.953571918607351,4,"BBC News online",0
29099947,0.818861168462333,2,"BBC News online",1
29171252,0.933001346993407,5,"BBC News online",0
29171826,0.950592752033376,6,"BBC News online",0
29213009,0.84389780870887,4,"BBC News online",0
29244000,0.760810689396771,NA,"BBC News online",0
29469942,1.03541599566902,5,"BBC News online",0
29477530,0.966261689432141,3,"BBC News online",1
29483187,0.973152758432742,3,"BBC News online",1
29487305,1.07427453506468,NA,"BBC News online",1
29498254,0.907051016528382,5,"BBC News online",0
29499762,0.833697652560433,NA,"BBC News online",0
29764485,1.17438519003218,4,"BBC News online",0
29821641,0.84797998909773,2,"BBC News online",0
29835911,0.908704538936667,NA,"BBC News online",0
29937004,1.18588314935095,NA,"BBC News online",0
30623806,1.46091454487931,6,"BBC News online",0
30629518,1.25047771566061,4,"BBC News online",1
30937696,1.03212708763763,NA,"BBC News online",0
31273935,0.83080796390262,NA,"BBC News online",1
31435701,1.39572624380206,4,"BBC News online",0
31671783,0.729783196899742,2,"BBC News online",0
31845573,0.820360991763164,4,"BBC News online",0
32693955,0.91667243543518,2,"BBC News online",1
32962021,0.748008777113973,2,"BBC News online",0
33159411,0.84389780870887,6,"BBC News online",0
33386432,0.750370362123011,3,"BBC News online",1
33702033,1.21173841367426,NA,"BBC News online",0
33764738,1.09671122198231,5,"BBC News online",0
33931048,0.893357025221136,5,"BBC News online",0
