url,Text,Author,Date,Images_url,Subheaders
https://www.thetimes.com/topic/extinction-rebellion,None,None,,,
https://www.thetimes.com/uk/crime/article/police-fear-just-stop-oil-jail-sentences-will-spark-more-protests-fzrbs6cp0,"['The record jail sentence for the co-founder of Just Stop Oil could serve as a “rallying call” to other climate activists for a wave of protests, police believe.', 'Roger Hallam, 58, was jailed for five years on Thursday for orchestrating protests that disrupted the M25 over four days in November 2022 when 45 protesters climbed gantries on various parts of the motorway, forcing police to stop traffic.', 'Daniel Shaw, 38, Lucia Whittaker De Abreu, 35, Louise Lancaster, 58, and Cressida Gethin, 22, were each given four years after being found guilty along with Hallam of conspiracy to cause a public nuisance.', 'The sentences, handed down by Judge Christopher Hehir, are thought to be the longest ever given for peaceful protest and have been widely criticised.']","['Katie Gibbons', 'Matt Dathan']",,"[['The sentences handed down to Lucia Whittaker De Abreu, Cressida Gethin, Louise Lancaster, Daniel Shaw and Hallam have been widely criticised', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F683cd313-fd5e-43a3-ac3d-4b0f65a0a2b5.jpg?crop=1116%2C744%2C230%2C156'], ['Roger Hallam was jailed for five years for orchestrating the M25 protests in 2022. It is thought to be the longest ever sentence to be handed down for peaceful protest', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F44ec9ad7-29df-4759-b5e8-e5121218ffdd.jpg?crop=4822%2C2712%2C0%2C88&resize=360']]",
https://www.thetimes.com/uk/crime/article/just-stop-oil-sentenced-m25-protests-0tb5jdr8v,"['A five-year jail sentence for the founder of Just Stop Oil has been welcomed by a minister, who hoped it would send a “strong message” to other activists.', 'Luke Pollard, the armed forces minister, condemned the “pathetic” and “highly dangerous” behaviour of the direct action group for blocking roads. He claimed that the group had held up ambulances responding to emergency callouts, arguing it had sparked a public backlash and “set the case back” for tackling climate change.', 'Pollard told LBC radio: “I’m glad that there’s now been a strong message sent to them, and anyone thinking about that type of disruptive protest in the future, that there’ll be serious consequences if they go down that path.”', 'He added that the “strong penalties” imposed by']","['Ali Mitib', 'Jonathan Ames', 'Aubrey Allegretti', 'Georgia Lambert']",,"[['The activists, including Hallam, second from right, outside Southwark crown court before they were sentenced', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fd8687eba-2ab0-4f5c-802e-4f457c5cf390.jpg?crop=1024%2C707%2C0%2C61'], ['The sentences handed to Lucia Whittaker De Abreu, Cressida Gethin, Louise Lancaster, Daniel Shaw and Roger Hallam were condemned as a “gross miscarriage of justice”', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F683cd313-fd5e-43a3-ac3d-4b0f65a0a2b5.jpg?crop=993%2C559%2C299%2C224&resize=360']]",
https://www.thetimes.com/uk/environment/article/mum-safehouse-just-stop-oil-jso-c8q2vb8q8,"['As a young woman, few things worried Louise Lancaster more than the idea of letting people down or doing something embarrassing. Having been one of the co-organisers of the protest that reduced parts of the M25 to gridlock over four days in November 2022, it seems that in later life she managed to overcome those challenges.', '“For the woman I married to become the woman she is now, she’s had to go against the principles she was raised with,” says her former husband Tim Lancaster. “To get to the stage where she could face off a police officer and risk arrest … all of that was hard for her. Really hard. The fact she was going to inconvenience people was the most difficult part. She']",['Caroline Scott'],,"[['The family of Just Stop Oil protester Louise Lancaster, from left: son Theo, Jonny Ainslie, fiancé to daughter Verity, ex-husband Tim, and son Tristan', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F0c3e8422-e565-4a22-baa8-11a8f0b19e54.jpg?crop=5000%2C2812%2C0%2C24&resize=360']]",
https://www.thetimes.com/uk/crime/article/just-stop-oil-roger-hallam-prison-climate-movement-h0gbhpddl,"['The record jail sentences handed down to five Just Stop Oil activists could prove a “massive trigger event” for further action by the climate movement, Roger Hallam has said in an interview from prison.', 'Hallam, 58, was jailed for five years this month for orchestrating protests that disrupted the M25 over four days in November 2022 when 45 protesters climbed gantries on various parts of the motorway, forcing police to stop traffic.', 'Daniel Shaw, 38, Lucia Whittaker De Abreu, 35, Louise Lancaster, 58, and Cressida Gethin, 22, were each given four years after also being found guilty of conspiracy to cause a public nuisance.', 'The sentences handed down by Judge Christopher Hehir are thought to be the longest ever given for peaceful protest and have']",['Tom Ball'],,"[['Roger Hallam was jailed for five years for orchestrating protests that caused disruption', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F2245bcf1-43c8-4f87-8d30-13eb3f2c525a.jpg?crop=4000%2C2250%2C0%2C210&resize=360']]",
https://www.thetimes.com/comment/columnists/article/just-stop-oils-idea-of-justice-is-a-danger-to-all-s5zg0hcbq,"['The co-founder of the Just Stop Oil movement, Roger Hallam, was jailed this month for five years. Judge Christopher Hehir gave four fellow activists four-year jail sentences after they were also found guilty of conspiracy to cause a public nuisance.', 'During four days in November 2022, the group disrupted the M25 when more than 45 protesters climbed gantries, forcing the police to stop traffic.', 'The judge said he was handing out exemplary sentences because of the seriousness of these offences and the risk that they would further escalate.', '• Prepare for jail, judge tells Just Stop Oil’s Van Gogh protesters', 'In an interview with The Times, Hallam gloated that the sentences would galvanise further protests. Whether that’s true or not, his attack on the']",['Melanie Phillips'],,"[['author-image', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fa5b72fd2-2ed2-4bdc-9de1-d356562eaf8f.png?crop=300%2C300%2C0%2C0']]",
https://www.thetimes.com/life-style/celebrity/article/just-stop-oil-interview-phoebe-plummer-i-felt-empowered-after-throwing-soup-at-the-sunflowers-pspfvbs9r,"['Whatever you think of Phoebe Plummer and Anna Holland’s decision to throw soup at one of the world’s most famous paintings, it is undeniable that their act of eco-protest has had an unusual cut-through.', 'The two Just Stop Oil activists are likely to be given jail terms in September after being found guilty of criminal damage for throwing the contents of two tins of tomato soup over Vincent van Gogh’s Sunflowers in the National Gallery in London.', 'When I met them a few days after the incident, which made headlines around the world in October 2022, they were far from contrite and planning further protests. And, perhaps because of Plummer’s pink hair, they were immediately recognisable.', 'As the two students left the café in southeast']",['Damian Whitworth'],,"[['Puzzle thumbnail', 'https://www.thetimes.com/d/img/puzzles/new-illustrations/crossword-c7ae8934ef.png'], ['Puzzle thumbnail', 'https://www.thetimes.com/d/img/puzzles/new-illustrations/polygon-875ea55487.png'], ['Puzzle thumbnail', 'https://www.thetimes.com/d/img/puzzles/new-illustrations/sudoku-ee2aea0209.png'], ['The Just Stop Oil climate protesters Phoebe Plummer and Anna Holland, both 22', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F4ece7e96-9324-4a34-85e3-389aa32d68ca.jpg?crop=5000%2C2812%2C0%2C478&resize=360']]",
https://www.thetimes.com/uk/law/article/stars-take-attorney-general-to-task-over-just-stop-oil-jail-terms-tk3rdkbx6,"['More than 1,100 lawyers, celebrities, academics and artists have called for an urgent meeting with the attorney-general to address the “injustice” of the sentences handed to five environmental activists for peaceful protest.', 'Roger Hallam, 58, was last week jailed for five years for co-ordinating the protest that disrupted the M25 in London over four days in 2022, during which 45 protesters climbed gantries on the motorway, forcing police to stop traffic. Daniel Shaw, 38, Lucia Whittaker de Abreu, 35, Louise Lancaster, 58, and Cressida Gethin, 22, were each given four years after being found guilty along with Hallam of conspiracy to cause a public nuisance.', 'The jail terms, handed down by Judge Christopher Hehir, exceed those given to two Just Stop Oil activists who scaled']",['Ali Mitib'],,"[['The severity of the sentences given last week to five climate activists has raised concern and prompted further protest', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F7f8c1364-d461-4e69-8981-57288f24d906.jpg?crop=5000%2C2813%2C0%2C260&resize=360']]",
https://www.thetimes.com/uk/environment/article/extinction-rebellion-plans-mass-occupation-of-windsor-castle-grounds-rtc89g9th,"['Thousands of Extinction Rebellion protesters will stage a mass occupation of Windsor Great Park in a direct challenge to the King for three days next month.', 'The occupation will take place from August 30 until September 1 in the grounds of Windsor Castle in Berkshire, XR announced.', 'Quoting Harmony, a book the King wrote while still the Prince of Wales, the protest group said Charles “clearly understands the plight of the planet and the urgent need for society to change course”.', 'The group acknowledged that the King is expected to be less vocal about climate change and environmental destruction now that he is the reigning monarch as it is seen as “too political”.', 'Although they insisted the occupation will not be targeting a person']",['Seren Hughes'],,"[['The occupation will take place from August 30 until September 1 in the grounds of Windsor Castle in Berkshire', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fbbb1e277-eae4-414c-b810-ac0732b59bc9.jpg?crop=5000%2C2813%2C0%2C260&resize=360']]",
https://www.thetimes.com/uk/politics/article/ed-miliband-criticised-just-stop-oils-disastrous-tactics-9m5kd68kc,"['Just Stop Oil’s tactics are “disastrous” and have “alienated” those who care about environmental issues, Ed Miliband has said.', 'The energy security secretary said although he understood the motivation of the protest group, he could not back its methods because they were “driving people away” from moving to net zero.', 'Miliband would not be drawn on the jailing of five Just Stop Oil activists for protests on the M25. However, on JSO more generally he told Good Morning Britain on ITV: “I think their tactics are disastrous in terms of persuading people to come to our cause. Because when you saw what happened in relation to some of those protests — people not being able to go about their business, people not being able to']",['Geraldine Scott'],,"[['The jailing of five Just Stop Oil activists has provoked protest', 'https://www.thetimes.com/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F5d46ca98-80b3-4a16-bbd2-a1d64140e68c.jpg?crop=3037%2C1708%2C0%2C152&resize=360']]",
